Catego_LHT_plan;Dataset;Population_name;Biogeographic_pos_pop;Marker_type;Sample_size;n_markers;n_markers_polymorphic;Ho;He;Ar;Fis;Fst;Gst_pr;JostD;BayesFst;Expected_Ne_bias;NeEstimator_result;NeLD;JK_CI_down;JK_CI_up
FastFS/IntermRS;Rana_arvalis_Cox_2024;patch_22_25;edge;SSR;136;13;13;0.591;0.582;5.191;-0.016;0.014;0.007;0.02;0.013;Nb;139.4;105.7865296;99.2;214.4
FastFS/IntermRS;Rana_arvalis_Cox_2024;patch_3_4_5_6_7;edge;SSR;196;13;13;0.586;0.576;5.206;-0.021;0.013;0.006;0.018;0.008;Nb;161.9;122.861113;115.3;246.2
FastFS/IntermRS;Rana_arvalis_Cox_2024;patch_31;edge;SSR;36;13;12;0.532;0.541;4.919;0.043;0.029;0.015;0.039;0.04;Nb;32.4;24.5874;17.1;86.1
IntermFS/IntermRS;Sardina_pilchardus_Antoniou_2023;1;subedge;SNP;19;3137;3020;0.294;0.319;1.859;0.092;0.015;0.009;0.008;0.027;Ne-down;356.42;448.8966484;98.4898445;999999
IntermFS/IntermRS;Sardina_pilchardus_Antoniou_2023;5;subedge;SNP;35;3137;3128;0.292;0.32;1.858;0.095;0.01;0.006;0.006;0.003;Ne-down;801.12;1008.972702;376.0673002;999999
IntermFS/IntermRS;Sardina_pilchardus_Antoniou_2023;11;subedge;SNP;33;3137;3118;0.299;0.316;1.851;0.066;0.011;0.006;0.006;0.007;Ne-down;71.74;90.35362015;23.05053625;999999
IntermFS/IntermRS;Sardina_pilchardus_Antoniou_2023;ES_west_FR;subedge;SNP;129;3137;3137;0.298;0.326;1.864;0.089;0.008;0.004;0.004;0.001;Ne-down;727.69;916.4905579;450.7096102;1768.259091
IntermFS/IntermRS;Sardina_pilchardus_Antoniou_2023;GoL_1A;subedge;SNP;35;3137;3129;0.299;0.32;1.858;0.078;0.009;0.005;0.005;0.004;Ne-down;576;725.4431665;237.0046278;999999
IntermFS/IntermRS;Sardina_pilchardus_Antoniou_2023;Ob;subedge;SNP;31;3137;3098;0.293;0.315;1.843;0.077;0.028;0.015;0.015;0.049;Ne-down;138.16;174.0077082;47.26029847;999999
IntermFS/IntermRS;Sardina_pilchardus_Antoniou_2023;W_IT;subedge;SNP;94;3137;3137;0.294;0.321;1.855;0.087;0.009;0.005;0.005;0.002;Ne-down;1027.33;1293.875326;666.5466073;2200.391004
SlowFS/HighRS;Symphonia_globulifera_Schmitt2021_Gargiulo2024;Species1;subedge;SNP;221;17442;5547;0.075;0.075;1.075;0.085;0.209;0.115;0.022;0.352;Ne-down;971.2;971.1982602;774.273874;1306.157372
SlowFS/HighRS;Symphonia_globulifera_Schmitt2021_Gargiulo2024;Species2;subedge;SNP;106;17442;11892;0.085;0.084;1.084;0.078;0.19;0.104;0.02;0.352;Ne-down;421.14;421.1422145;323.0054679;602.514384
SlowFS/HighRS;Symphonia_globulifera_Schmitt2021_Gargiulo2024;Species3;subedge;SNP;28;17442;10232;0.08;0.077;1.079;0.046;0.21;0.117;0.023;0.471;Ne-down;126.45;126.4525019;63.47436962;1371.00511
IntermFS/LowRS;Ursus_arctos_Kopatz_2021;North_Karelian;edge;SSR;118;12;12;0.794;0.797;10.058;0.009;0.062;0.032;0.242;0.043;Ne-down-males;75.2;75.2;54.9;109.2
IntermFS/LowRS;Ursus_arctos_Kopatz_2021;Scandinavia;edge;SSR;441;12;12;0.743;0.75;8.287;0.011;0.091;0.047;0.344;0.135;Ne-down-males;76;76;59.9;96.4
IntermFS/LowRS;Ursus_arctos_Kopatz_2021;South_Karelian;edge;SSR;244;12;12;0.789;0.8;9.659;0.019;0.085;0.044;0.34;0.077;Ne-down-males;182.2;182.2;144.4;237.5
IntermFS/LowRS;Ursus_arctos_Kopatz_2024;North_Karelian;edge;SNP;23;82;82;0.406;0.402;1.998;-0.01;0.061;0.03;0.038;0.03;Ne-down-males;146.4;146.4;50.7;999999
IntermFS/LowRS;Ursus_arctos_Kopatz_2024;South_Karelian;edge;SNP;70;82;81;0.359;0.357;1.987;-0.005;0.061;0.03;0.038;0.087;Ne-down-males;92.6;92.6;59.7;174
